station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish,detailed_gear
Exp_Set2,POT,Exp_Set2_106_125,125,16,Small pots
Exp_Set2,POT,Exp_Set2_106_126,126,9,Small pots
Exp_Set2,POT,Exp_Set2_106_127,127,9,Small pots
Exp_Set2,POT,Exp_Set2_106_128,128,6,Small pots
Exp_Set2,POT,Exp_Set2_106_129,129,13,Small pots
Exp_Set2,POT,Exp_Set2_106_130,130,5,Small pots
Exp_Set2,POT,Exp_Set2_106_131,131,14,Small pots
Exp_Set2,POT,Exp_Set2_106_132,132,10,Small pots
Exp_Set2,POT,Exp_Set2_106_133,133,10,Small pots
Exp_Set2,POT,Exp_Set2_106_134,134,6,Small pots
Exp_Set2,POT,Exp_Set2_106_135,135,4,Small pots
Exp_Set2,POT,Exp_Set2_106_136,136,13,Small pots
Exp_Set2,POT,Exp_Set2_106_137,137,5,Small pots
Exp_Set2,POT,Exp_Set2_106_138,138,23,Small pots
Exp_Set2,POT,Exp_Set2_106_139,139,18,Small pots
Exp_Set2,POT,Exp_Set2_106_140,140,5,Small pots
Exp_Set2,POT,Exp_Set2_106_141,141,13,Small pots
Exp_Set2,POT,Exp_Set2_106_142,142,6,Small pots
Exp_Set2,POT,Exp_Set2_106_143,143,4,Small pots
Exp_Set2,POT,Exp_Set2_106_144,144,1,Small pots
Exp_Set2,POT,Exp_Set2_106_145,145,2,Small pots
Exp_Set2,POT,Exp_Set2_106_146,146,14,Small pots
Exp_Set2,POT,Exp_Set2_106_147,147,12,Small pots
Exp_Set2,POT,Exp_Set2_106_148,148,0,Small pots
Exp_Set2,POT,Exp_Set2_106_149,149,7,Small pots
Exp_Set2,POT,Exp_Set2_106_150,150,2,Small pots
Exp_Set2,POT,Exp_Set2_106_151,151,9,Small pots
Exp_Set2,POT,Exp_Set2_106_152,152,13,Small pots
Exp_Set2,POT,Exp_Set2_106_153,153,8,Small pots
Exp_Set2,POT,Exp_Set2_106_154,154,3,Small pots
Exp_Set2,POT,Exp_Set2_106_155,155,2,Small pots
Exp_Set2,POT,Exp_Set2_106_156,156,15,Small pots
Exp_Set2,POT,Exp_Set2_106_157,157,0,Small pots
Exp_Set2,POT,Exp_Set2_106_158,158,6,Small pots
Exp_Set2,POT,Exp_Set2_106_159,159,14,Small pots
Exp_Set2,POT,Exp_Set2_106_160,160,7,Small pots
Exp_Set2,POT,Exp_Set2_106_161,161,11,Small pots
Exp_Set2,POT,Exp_Set2_106_162,162,7,Small pots
Exp_Set2,POT,Exp_Set2_106_163,163,3,Small pots
Exp_Set2,POT,Exp_Set2_106_164,164,3,Small pots
Exp_Set2,POT,Exp_Set2_106_165,165,7,Small pots
Exp_Set2,POT,Exp_Set2_106_166,166,5,Small pots
Exp_Set2,POT,Exp_Set2_106_167,167,4,Small pots
Exp_Set2,POT,Exp_Set2_106_168,168,12,Small pots
Exp_Set2,POT,Exp_Set2_106_169,169,9,Small pots
Exp_Set2,POT,Exp_Set2_106_170,170,12,Small pots
Exp_Set2,POT,Exp_Set2_106_171,171,12,Small pots
Exp_Set2,POT,Exp_Set2_106_172,172,2,Small pots
